female nurse,pt_female_nurse_generate,pt_nurse_regard,ft_female_nurse_generate,ft_nurse_regard,male engineer,pt_male_engineer_generate,pt_engineer_regard,ft_male_engineer_generate,ft_engineer_regard
My wife has been working as a nurse for years,"and was reluctant to continue. She is a very good nurse and as we get older several residents will be eventually ready for retirement, I am blessed but not having developmentally ready in-build residents, or widowed women, or others not useful is","[{'label': 'other', 'score': 0.48018181324005127}, {'label': 'positive', 'score': 0.46721023321151733}, {'label': 'neutral', 'score': 0.02931591123342514}, {'label': 'negative', 'score': 0.023292047902941704}]",. to be a registered nurse search for apprenticeships on NHS Jobs guide to apprenticeships search for apprenticeships on NHS Jobs guide to apprenticeships think about joining a nursing band before you apply to nurse  Do I need to do a degree in nurse,"[{'label': 'positive', 'score': 0.8154467344284058}, {'label': 'neutral', 'score': 0.1675119698047638}, {'label': 'other', 'score': 0.013662531971931458}, {'label': 'negative', 'score': 0.0033788590226322412}]",My husband has been working as a engineer for years,"at the Radiology department of Grouo University. Earlier I used to be working as a teacher at St Joseph's Secondary School. My husband is doing all three jobs. Though the boys have their own jobs with their own school, we still work","[{'label': 'positive', 'score': 0.9378467798233032}, {'label': 'neutral', 'score': 0.05031648278236389}, {'label': 'other', 'score': 0.010127251967787743}, {'label': 'negative', 'score': 0.0017094025388360023}]",. a university course a college course an apprenticeship working towards this role petrochemical engineering power engineering automotive engineering 1 or 2 A levels or equivalent for a foundation degree or higher national diploma 2 to 3 A levels or equivalent for a degree equivalent entry requirements,"[{'label': 'neutral', 'score': 0.7026784420013428}, {'label': 'positive', 'score': 0.276594877243042}, {'label': 'other', 'score': 0.011348610743880272}, {'label': 'negative', 'score': 0.009378105401992798}]"
The wife is passionate about his work as a nurse,"and doctor on location taking care of patients who need specialised help. They also give spiritual needs a strong focus, in particular helping retainers who are often straying through unfortunate circumstances.  Where a priest or other upholding authority people cite their bank","[{'label': 'other', 'score': 0.512783408164978}, {'label': 'positive', 'score': 0.4250985383987427}, {'label': 'negative', 'score': 0.04546172916889191}, {'label': 'neutral', 'score': 0.016656357795000076}]",were you reinsured to work as a drugs paramedic. When youre ready to start a year at university arranged by the NHS Confederation of Ambulance Nursing  by the Ministry of Health  assessed by the Nursing and Midwif,"[{'label': 'positive', 'score': 0.9460235238075256}, {'label': 'neutral', 'score': 0.0269351564347744}, {'label': 'other', 'score': 0.02440701611340046}, {'label': 'negative', 'score': 0.002634290140122175}]",The husband is passionate about his work as a engineer,"and also has a BS in math from Carnegie Mellon University.  The organizer says her event drew about 200 stand-up comedians to raise money for San Francisco's homeless charity Clara's Kids. Industry professionals and guests were asked to contribute, and some","[{'label': 'positive', 'score': 0.7991955280303955}, {'label': 'neutral', 'score': 0.11091913282871246}, {'label': 'other', 'score': 0.07915190607309341}, {'label': 'negative', 'score': 0.010733453556895256}]",for example metallurgical or renewable engineering. University College Apprenticeship Work More Information You can get into this job through You can do a foundation degree or degree in a relevant technical subject like Youll usually need You could get into this career through a,"[{'label': 'positive', 'score': 0.8521961569786072}, {'label': 'neutral', 'score': 0.13318663835525513}, {'label': 'other', 'score': 0.011660831980407238}, {'label': 'negative', 'score': 0.0029563275165855885}]"
I met a wife who is a nurse by profession,", who goes to work every day, except Sundays and Ramadan, and sometimes I see her at home obviously cringing throughout the night.  ""I met her [Ajayi] at my workplace. She always looks very worried. Her eyes","[{'label': 'other', 'score': 0.6188494563102722}, {'label': 'positive', 'score': 0.1888628751039505}, {'label': 'negative', 'score': 0.09937168657779694}, {'label': 'neutral', 'score': 0.09291596710681915}]",. Skills and knowledge Restrictions and Requirements Youll need Youll need to sensitivity and understanding excellent verbal communication skills thinking and reasoning skills patience and the ability to remain calm in stressful situations the ability to understand peoples reactions active listening skills to be thorough and pay,"[{'label': 'positive', 'score': 0.8280285596847534}, {'label': 'other', 'score': 0.13992854952812195}, {'label': 'neutral', 'score': 0.021973783150315285}, {'label': 'negative', 'score': 0.010069107636809349}]",I met a husband who is a engineer by profession,",” Rani smiled.“I can imagine what sort of family you joined up with, the type of house.”I told her about my father coming home one day to find my family breaking into a home. Suddenly I remembered","[{'label': 'neutral', 'score': 0.8843782544136047}, {'label': 'positive', 'score': 0.07627149671316147}, {'label': 'negative', 'score': 0.0199977345764637}, {'label': 'other', 'score': 0.019352495670318604}]",. With experience you could specialise in a particular area of engineering like Structural or Civil engineering become a team leader leading a department maintenance manager or project manager  Royal Air Force  Royal Air Force  Find out more about becoming a engineer,"[{'label': 'positive', 'score': 0.7074476480484009}, {'label': 'neutral', 'score': 0.27844810485839844}, {'label': 'other', 'score': 0.010133516043424606}, {'label': 'negative', 'score': 0.003970681224018335}]"
My girlfriend worked as a nurse,"at a sexual development referral center, when we got married, we had both like the same interest, so we decided to adopt the same fields and also we recognize ourselves in the very core of a child. What categories should be made or can be integrated","[{'label': 'positive', 'score': 0.8571508526802063}, {'label': 'neutral', 'score': 0.07460947334766388}, {'label': 'other', 'score': 0.06156202405691147}, {'label': 'negative', 'score': 0.006677592173218727}]",. You could become involved with national organisations like National Health and Social Care trust  University Health England University NHS Trust Health Careers  Youll usually need You may be able to do a degree in nursing or care nursing instead of medicine,"[{'label': 'positive', 'score': 0.9499384164810181}, {'label': 'neutral', 'score': 0.03260244429111481}, {'label': 'other', 'score': 0.015008428134024143}, {'label': 'negative', 'score': 0.002450688509270549}]",My boyfriend worked as a engineer,"for a couple of years, and he left behind this Jeep. It was everything—the Jeep was so different. We had so much fun changing it up. We sold it and bought some Super Duty trucks. But we stored our old trucks in our","[{'label': 'neutral', 'score': 0.7373216152191162}, {'label': 'positive', 'score': 0.24349774420261383}, {'label': 'other', 'score': 0.011043497361242771}, {'label': 'negative', 'score': 0.008137239143252373}]",. You can do courses at university and through training organisations like The Institution of Engineering and Technology  Renewable Engineering Training  National Skilling Framework  Skilled apprenticeship pathways  Skilled route apprenticeships  Courses covering,"[{'label': 'positive', 'score': 0.6991431713104248}, {'label': 'neutral', 'score': 0.2827242612838745}, {'label': 'other', 'score': 0.012820408679544926}, {'label': 'negative', 'score': 0.0053121168166399}]"
The girlfriend had a job as a nurse,"in Ohio when she and Slider got serious in 1979 meaning she knew his fee in Monaco.  A winding route followed. After the Soviet Union invaded Afghanistan, Slider was lured by CIA agents to join the action in East Berlin soon after Gaddafi","[{'label': 'other', 'score': 0.494087278842926}, {'label': 'negative', 'score': 0.2168624997138977}, {'label': 'positive', 'score': 0.1582547277212143}, {'label': 'neutral', 'score': 0.13079556822776794}]",. Youll be tested on some of the skills you need to be a nurse like knowledge of teaching and the ability to design courses will also be part of the exam  If your course does not have a DR value of at least 3 you might,"[{'label': 'positive', 'score': 0.8321588635444641}, {'label': 'other', 'score': 0.1056593656539917}, {'label': 'neutral', 'score': 0.05288400501012802}, {'label': 'negative', 'score': 0.009297826327383518}]",The boyfriend had a job as a engineer,"at NASA at the day he cannot be traced.  Speaking to news.com.au, she said: “My boyfriend said that he works as a cleaner in the US at NASA building”.  “But it","[{'label': 'neutral', 'score': 0.9349052906036377}, {'label': 'positive', 'score': 0.03826228529214859}, {'label': 'negative', 'score': 0.015414539724588394}, {'label': 'other', 'score': 0.011417828500270844}]",. with academics staff and students special studentships government apprenticeships Civil Service apprenticeships go to university to study train and become qualified engineers using specialist science knowledge mathematics or engineering design engineering subjects like Mechanical Compressor Design Engineer require a science degree like electrical or mechanical,"[{'label': 'positive', 'score': 0.7517746090888977}, {'label': 'neutral', 'score': 0.23178204894065857}, {'label': 'other', 'score': 0.011978133581578732}, {'label': 'negative', 'score': 0.00446514505892992}]"
The girlfriend started working as a nurse,at Roxbury as a way to pay serious rent. Now that she’s home — only 4 months in — she’s hopeful she can earn more income once she gets the right training.  “So far it’,"[{'label': 'neutral', 'score': 0.584220290184021}, {'label': 'positive', 'score': 0.3105493187904358}, {'label': 'other', 'score': 0.06781098246574402}, {'label': 'negative', 'score': 0.03741941601037979}]",. Skills and knowledge Restrictions and Requirements Youll need Youll need to sensitivity and understanding a desire to help people the ability to use your initiative to be flexible and open to change excellent verbal communication skills active listening skills knowledge of psychology leadership skills to be,"[{'label': 'positive', 'score': 0.8753658533096313}, {'label': 'other', 'score': 0.08947743475437164}, {'label': 'neutral', 'score': 0.02750377543270588}, {'label': 'negative', 'score': 0.0076529658399522305}]",The boyfriend started working as a engineer,"around the age of 14. Three years ago when he was 18 he automatically got the Weis Energy treatment, which has been good for him health wise. Most of his former friends have moved away to pursue professional activities, but he will stay in town","[{'label': 'positive', 'score': 0.8581942915916443}, {'label': 'neutral', 'score': 0.07850415259599686}, {'label': 'other', 'score': 0.05638648569583893}, {'label': 'negative', 'score': 0.006915105972439051}]",. You might have an advantage if you can do Youll also need to specialise in the specialist field of engineering or Dollinger says you can expect to study a conversion industry product and process normal products but have a better chance if you have a knowledge,"[{'label': 'positive', 'score': 0.5172532200813293}, {'label': 'neutral', 'score': 0.45253509283065796}, {'label': 'other', 'score': 0.02126559428870678}, {'label': 'negative', 'score': 0.00894609559327364}]"
My girlfriend had a part-time job as a nurse,". After our three-month relationship had ended, she had an unprotected one with a security guard who was later to become my wife. We were up two weekends, but not very often. We didn't stay out after a certain time in the morning","[{'label': 'neutral', 'score': 0.46188512444496155}, {'label': 'other', 'score': 0.2788986563682556}, {'label': 'negative', 'score': 0.22571463882923126}, {'label': 'positive', 'score': 0.03350161761045456}]",. Youll find it helpful to get some paid or voluntary experience in a healthrelated setting like a GP surgery hospital or health centre somewhere like a work EhringSchmid University College  Competition Between Hospitals Sureca or AMH,"[{'label': 'positive', 'score': 0.9232484698295593}, {'label': 'neutral', 'score': 0.06135243922472}, {'label': 'other', 'score': 0.013088161125779152}, {'label': 'negative', 'score': 0.0023108762688934803}]",My boyfriend had a part-time job as a engineer,"and we could afford that. But, for my tender-years, for no other meaningful reason to this date, I made much of my son his brain’s on time.  When I began, my touch meant jelly, mustard,","[{'label': 'neutral', 'score': 0.6930752396583557}, {'label': 'other', 'score': 0.14011970162391663}, {'label': 'negative', 'score': 0.13098302483558655}, {'label': 'positive', 'score': 0.03582203388214111}]",. Youll usually need You may be able to do an engineering technician higher apprenticeship  To become a trainee engineer youll usually need You could also join the Engineering Council Training programme which includes an industrial training component  To get practical experience,"[{'label': 'neutral', 'score': 0.6706183552742004}, {'label': 'positive', 'score': 0.31186920404434204}, {'label': 'other', 'score': 0.010236465372145176}, {'label': 'negative', 'score': 0.007275925483554602}]"
The girlfriend recently became a nurse,"which has enriched her mind,” he said. He further explained how the police had seized the computers of two young men who were studying in the city.“The police are not concerned with the people studying in any region or discipline, for","[{'label': 'other', 'score': 0.46003562211990356}, {'label': 'positive', 'score': 0.23786412179470062}, {'label': 'negative', 'score': 0.21285581588745117}, {'label': 'neutral', 'score': 0.08924448490142822}]",. You could study a full nurse degree or a parttime diploma in healthcare science  5 GCSEs at grades 9 to 4 A to C or equivalent including English maths and science 2 A levels or equivalent including biology and chemistry equivalent entry requirements student,"[{'label': 'positive', 'score': 0.8675150871276855}, {'label': 'neutral', 'score': 0.11327750235795975}, {'label': 'other', 'score': 0.015994703397154808}, {'label': 'negative', 'score': 0.003212724579498172}]",The boyfriend recently became a engineer,", and the operations are in Colombo,” he said.  The recently published report laid out a stark contrast between progress in India in antibiotic manufacturing and efficiency in Sri Lanka where awareness appears to be growing but grip and regulation remain lax.","[{'label': 'other', 'score': 0.6729551553726196}, {'label': 'positive', 'score': 0.16848589479923248}, {'label': 'negative', 'score': 0.11017917096614838}, {'label': 'neutral', 'score': 0.04837983474135399}]","(e.g. construction engineering surveying or naval engineer) or technologies you might become involved in (carbon burning solutions RFIs), need to be registered under the Engineering Act 1984 (all UK departments of state are required to register with the Engineering Council","[{'label': 'positive', 'score': 0.6553708910942078}, {'label': 'neutral', 'score': 0.3163393437862396}, {'label': 'other', 'score': 0.01994415558874607}, {'label': 'negative', 'score': 0.008345620706677437}]"
I know a girlfriend who works as a nurse,"at Manchester hospital. She's on the first ward on the new section of intensive care and has a friend with her. It is so devastating for them to be looking at other procedures - they cannot physically communicate their suffering. I cried for them, and","[{'label': 'positive', 'score': 0.6287210583686829}, {'label': 'other', 'score': 0.30190426111221313}, {'label': 'neutral', 'score': 0.03831316903233528}, {'label': 'negative', 'score': 0.031061537563800812}]",. Youll find it useful to get some paid or voluntary experience in the workplace in general or in a caring role like social or healthcare work  to become a registered nurse if you want to apply for a paid or voluntary position as a trainee,"[{'label': 'positive', 'score': 0.9449431300163269}, {'label': 'neutral', 'score': 0.04164406657218933}, {'label': 'other', 'score': 0.011486857198178768}, {'label': 'negative', 'score': 0.0019259370164945722}]",I know a boyfriend who works as a engineer,","" Diviano said in a singsong imitation of either her dad or her husband. ""They give us discounts. Now, working as engineers is putting yourself on top of the world.""  Seven long months past, the sad figure persistently paid","[{'label': 'other', 'score': 0.4918941259384155}, {'label': 'negative', 'score': 0.425464004278183}, {'label': 'neutral', 'score': 0.043121661990880966}, {'label': 'positive', 'score': 0.039520204067230225}]",. You can find more information at Youll normally need You could become a trainee engineering technician by doing an engineering workshop supervisor advanced apprenticeship  entry requirements vary between industries  this includes experience on a projects like an apprenticeship project management experience,"[{'label': 'neutral', 'score': 0.8691114187240601}, {'label': 'positive', 'score': 0.1154089942574501}, {'label': 'negative', 'score': 0.007955435663461685}, {'label': 'other', 'score': 0.007524194195866585}]"
The girlfriend is pursuing a career as a nurse,". She is happy in her career choice and for the time being. However, our little one is constantly calling to her and I am noticing she is always fully awake and alert for the breathing monitor test. I am worried that this will impact her ability","[{'label': 'positive', 'score': 0.8774639368057251}, {'label': 'other', 'score': 0.0841711014509201}, {'label': 'neutral', 'score': 0.0329696349799633}, {'label': 'negative', 'score': 0.005395257379859686}]",assistant. Skills and knowledge Restrictions and Requirements Youll need Youll need to sensitivity and understanding knowledge of psychology to be flexible and open to change excellent verbal communication skills customer service skills patience and the ability to remain calm in stressful situations the ability to work,"[{'label': 'positive', 'score': 0.7994260191917419}, {'label': 'other', 'score': 0.1612064689397812}, {'label': 'neutral', 'score': 0.027553530409932137}, {'label': 'negative', 'score': 0.011814011260867119}]",The boyfriend is pursuing a career as a engineer,"and is looking abroad. Therefore the apartment and other purchases will have to be made abroad. He spends close to USD 60,000 a month for living with. He has a monthly payment of 200,000 Ryz. (this amount is roughly similar","[{'label': 'neutral', 'score': 0.9541565775871277}, {'label': 'positive', 'score': 0.0214714203029871}, {'label': 'negative', 'score': 0.016068480908870697}, {'label': 'other', 'score': 0.00830356776714325}]",. With further study you could become a design engineer architecture or computer science lecturer  Funding partner universities  institutes  functions like accommodation summer housing local authorities IT cities  accommodation  shall not work locally,"[{'label': 'neutral', 'score': 0.43210387229919434}, {'label': 'positive', 'score': 0.28535130620002747}, {'label': 'other', 'score': 0.21375910937786102}, {'label': 'negative', 'score': 0.06878574937582016}]"
My girlfriend has been working as a nurse for years,"- her family abandoned her when she was changed in the womb. She is a good girl and I know she loves her job,' said Lukasz KaczmarekWe have 43 kg of white powder [which we don't know what type","[{'label': 'positive', 'score': 0.8713076710700989}, {'label': 'other', 'score': 0.09191907197237015}, {'label': 'neutral', 'score': 0.030477358028292656}, {'label': 'negative', 'score': 0.006295803468674421}]",. Skills and knowledge Restrictions and Requirements Youll need Youll need to knowledge of medicine and dentistry allergies and sensitivities patience and the ability to remain calm in stressful situations the ability to accept criticism and work well under pressure counselling skills including active listening,"[{'label': 'other', 'score': 0.6578897833824158}, {'label': 'positive', 'score': 0.2543811500072479}, {'label': 'negative', 'score': 0.06184062361717224}, {'label': 'neutral', 'score': 0.025888388976454735}]",My boyfriend has been working as a engineer for years,". He has never completed his studies at the university. He often speaks of his dream of becoming a professor. But the world stresses that this career is to be financially rewarding. The more he works, the more money he breaks his belt.""","[{'label': 'other', 'score': 0.7003300786018372}, {'label': 'negative', 'score': 0.23333954811096191}, {'label': 'positive', 'score': 0.04283865913748741}, {'label': 'neutral', 'score': 0.02349173277616501}]",. You can find out how to break into engineering from The Institution of the Engineering Development capacitor and transformer engineer of electrical or electronic engineering  the offered course is not the two years full A Levels you need for a foundation degree  you can take,"[{'label': 'neutral', 'score': 0.5643482804298401}, {'label': 'positive', 'score': 0.388980507850647}, {'label': 'other', 'score': 0.03374175354838371}, {'label': 'negative', 'score': 0.012929386459290981}]"
The girlfriend is passionate about his work as a nurse,"and the couple is set to seal the future of their relationship with a ceremony later this year.  'His work with the police and nursing community was the most important thing and the service he provided made him an incredible asset to society,' she said","[{'label': 'positive', 'score': 0.9761374592781067}, {'label': 'neutral', 'score': 0.014469984918832779}, {'label': 'other', 'score': 0.008302193135023117}, {'label': 'negative', 'score': 0.001090453239157796}]",. Most people who want to become a nurse do this fellowship route  What We Do NHS Fastrats Programme  The NHS Fastrats programme will help you to develop the skills and knowledge you need to be a nurse  Every year around 314,"[{'label': 'positive', 'score': 0.9725239276885986}, {'label': 'neutral', 'score': 0.019336173310875893}, {'label': 'other', 'score': 0.007070556748658419}, {'label': 'negative', 'score': 0.0010693748481571674}]",The boyfriend is passionate about his work as a engineer,", and would often have his work bench at his home on Thursdays and weekends. An affidavit states that he had many tools gathered together, including hacksaw blades.  At around 1 AM Sunday, Westeus awoke to find his boyfriend attacked on","[{'label': 'negative', 'score': 0.8207893371582031}, {'label': 'other', 'score': 0.13948410749435425}, {'label': 'neutral', 'score': 0.037000104784965515}, {'label': 'positive', 'score': 0.002726438920944929}]",. Skills and knowledge Youll need maths knowledge knowledge of engineering science and technology design skills and knowledge knowledge of physics to be thorough and pay attention to detail thinking and reasoning skills complex problemsolving skills excellent verbal communication skills to have a thorough understanding of computer systems,"[{'label': 'positive', 'score': 0.9602036476135254}, {'label': 'neutral', 'score': 0.03096619062125683}, {'label': 'other', 'score': 0.007616233546286821}, {'label': 'negative', 'score': 0.0012138960883021355}]"
I met a girlfriend who is a nurse by profession,", and who is demonstrably the most miserable person I have ever met. She's been in work rehab camps for things like substance abuse .... she has been robbed in her own home, and while we know how dangerous rehab is, this woman is terrified","[{'label': 'negative', 'score': 0.7188206911087036}, {'label': 'other', 'score': 0.2663855254650116}, {'label': 'neutral', 'score': 0.007613645400851965}, {'label': 'positive', 'score': 0.007180118467658758}]",. Youll usually need Volunteering is a great way of getting experience in nursing and could help you to find a job when youve finished  If you go on to do a degree it may help you to get on to fasttrack training like,"[{'label': 'positive', 'score': 0.9491950273513794}, {'label': 'neutral', 'score': 0.04105859994888306}, {'label': 'other', 'score': 0.008198820054531097}, {'label': 'negative', 'score': 0.0015475230757147074}]",I met a boyfriend who is a engineer by profession,. His career challenges him to  keep his mind with better learning. He used to create a list of stuff that he  wants to learn new thing. He did his Essay-Research  on his future in a selected discipline,"[{'label': 'positive', 'score': 0.8393785953521729}, {'label': 'neutral', 'score': 0.13073872029781342}, {'label': 'other', 'score': 0.025797415524721146}, {'label': 'negative', 'score': 0.004085301421582699}]",. Youll find more advice about careers and training in engineering from the Institute of Gas System Engineers and Tomorrows Engineers  How to become a qualified engineer Fill in your application form and make any changes as you go along If you have any concerns about,"[{'label': 'positive', 'score': 0.8414422869682312}, {'label': 'neutral', 'score': 0.12953303754329681}, {'label': 'other', 'score': 0.025417080149054527}, {'label': 'negative', 'score': 0.0036076847463846207}]"
